file,category,pde_subcategories,sde_subcategories,sensor_subcategories,equation_excerpts
Energy_Efficient_and_Accurate_Tracking_and_Detection_of_Continuous_Objects_in_Wireless_Sensor_Networks.pdf,Sensors,None,None,"energy efficiency, data transmission",None
3576841.3585929.pdf,Neither,None,None,None,None
An_IoT_based_Alert_System_with_Gas_Sensors_in_a_WSN_Framework_for_Evasion_of_Forest_Fire.pdf,Sensors,None,None,energy efficiency,None
Hull-based_approximation_to_forest_fires_with_distributed_wireless_sensor_networks.pdf,PDE-only,physical phenomena,None,"fusion, data transmission","q   q = enclosed, h 1   h 2 = enclosed, d=50m, d=  5000 fig, note that d=  implies the use of only one hull in the shape, a raster is a 2d grid of cells varying the parameter distance of fusion from d=40 to d, farsite d = 40 d, = 50 d, = 60 d, = 80 d, = 100 d, = 200 d, = 300 d, = 400 d, =   time, we can appreciate that the  d=  series offers fig, the  d=400  series performs fusion considered, horizontal axis represents simulation time similarly to the  d=  series, we can see that the  d=  series decreases, we observe that the  d=40  series exhibits a requires very few points, and this amount slightly increases as slightly worse behavior than the  d=50  series during the first the size of the shape does, the  d=40  series part of the simulation, the  d=50  series shows that, each point represents these requirements after the fire has degree=23, degree=3, we can see that an approximation based on a single the  d=  series shows that an approximation based on a convex hull requires a low and constant amount of points, especially the  d=50  series, on the one etar sllec tcerroc 350 300 250 200 150 100 d = 40 50 d, = 50 d, =   0 0 1 2 3 4 5 6 connectivity degree fig, d = 40 d, = 50 d, =   time, d=50 series, performance of a protected wireless sensor network in a derots snoitisop erif fo etar d = 40 d, = 50 d, =   connectivity degree 270 authorized licensed use limited to"
2507924.2507941.pdf,SDE-only,None,simulation model,"fusion, data transmission",None
3234698.3234764.pdf,Neither,None,None,None,None
Space-based_Sensorweb_monitoring_of_wildfires_in_Thailand.pdf,Sensors,None,None,spatial resolution,None
Performance_evaluation_of_routing_protocols_for_wireless_sensor_networks_in_forest_fire_detection_application (1).pdf,Sensors,None,None,data transmission,None
Randomized_k-Coverage_Algorithms_For_Dense_Sensor_Networks.pdf,Sensors,None,None,fusion,None
Design_of_position_controller_for_PMSM_drive_in_pais_project_for_early_wildfire_detection_by_means_of_differential_evolution_with_Scale_Factor_Local_Search.pdf,SDE-only,None,control system,optimization techniques,None
Priority_Based_Localization_for_Anisotropic_Wireless_Sensor_Networks.pdf,Neither,None,None,None,None
A_forest_fire_prediction_system_based_on_rechargeable_wireless_sensor_networks.pdf,Neither,None,None,None,None
Sink_Mobility_Support_Scheme_for_Continuous_Object_Tracking_in_Wireless_Sensor_Networks.pdf,Neither,None,None,None,None
Using_Wireless_Sensor_Network_for_Wildfire_detection._A_discrete_event_approach_of_environmental_monitoring_tool.pdf,Neither,None,None,None,None
IoT_based_Anti-poaching_and_Fire_Alarm_System_for_Forest.pdf,Sensors,None,None,signal processing,None
Random_decision_tree_body_part_recognition_using_FPGAs.pdf,Sensors,None,None,reconfigurable,None
Analysis_of_power_saving_multicasting_routing_applications_for_Mica2_motes-an_event_based_MATLAB_implementation.pdf,Sensors,None,None,energy efficiency,None
Classification_of_Hotspot_in_East_Kalimantan_Forest_with_VIIRS_Sensors_using_Support_Vector_Machine.pdf,SDE-only,None,statistical analysis,"spatial resolution, temporal resolution, statistical analysis",None
A_review_on_early_forest_fire_detection_using_IoT-enabled_WSN (1).pdf,Sensors,None,None,"signal processing, interoperability",None
Forest_Fire_Warning_System_Based_on_GIS_and_WSNs.pdf,SDE-only,None,control system,fusion,None
Performance_evaluation_of_routing_protocols_for_wireless_sensor_networks_in_forest_fire_detection_application.pdf,Sensors,None,None,data transmission,None
Communication_Perspective_of_Wildfire_Detection_and_Suppression_A_Survey_of_Technologies_Requirements_and_Future_Directions (1).pdf,Sensors,None,None,"fusion, data transmission, control systems, simulation models",None
Multi-AI_Based_Wireless_Sensor_Node_for_Forest_Fire_Detection (1).pdf,Neither,None,None,None,None
A_Method_of_Automatically_Extracting_Forest_Fire_Burned_Areas_Using_Gf-1_Remote_Sensing_Images.pdf,Neither,None,None,None,None
Forest_Fire_Fighting_Using_Heterogeneous_Ensemble_of_Unmanned_Aerial_Vehicles.pdf,SDE-only,None,"control system, decision support system","signal processing, ultrasonic sensors, control systems",None
A_Real-Time_Fault_Localization_in_Power_Distribution_Grid_for_Wildfire_Detection_Through_Deep_Convolutional_Neural_Networks.pdf,Neither,None,None,None,None
Wireless_Sensor_Network_Framework_for_Early_Detection_and_Warning_of_Forest_Fire.pdf,Sensors,None,None,data transmission,None
End-to-end_architecture_of_a_complete_system_for_the_provision_of_operational_fire_information_services_provider_centers_and_decision_support_systems.pdf,Sensors,None,None,fusion,None
Development_of_A_Surveillance_System_to_Detect_Forest_Fire_and_Smoke_Using_Deep_Neural_Networks.pdf,Neither,None,None,None,None
Detection_of_Forest_Fires_Based_on_Aerial_Survey_Data_Using_Neural_Network_Technologies.pdf,Neither,None,None,None,None
Internet-of-Things_Enabled_Forest_Fire_Detection_System.pdf,Sensors,None,None,data transmission,None
1869983.1869997.pdf,Neither,None,None,None,None
Firoxio_Forest_fire_detection_and_alerting_system.pdf,Sensors,None,None,"data transmission, temporal resolution",None
Forest_fire_detection_system_based_on_wireless_sensor_network.pdf,SDE-only,None,control system,"signal processing, fusion",None
Control_of_automatic_fire_extinguishing_operation_for_5_forest_areas_with_SCADA.pdf,Neither,None,None,None,None
Forest_Fire_Detection_using_Convolutional_Neural_Network_Model.pdf,SDE-only,None,machine learning model,machine learning models,None
Low_Cost_LoRa_based_Network_for_Forest_Fire_Detection.pdf,Sensors,None,None,signal processing,None
Lightweight_and_Efficient_Deep_Learning_Model_for_Fire_Detection.pdf,Neither,None,None,None,None
Real-time_Forest_Fire_Detection_and_Alert_System_Using_Wireless_Sensor_Networks_and_Solar_Energy.pdf,Sensors,None,None,data transmission,None
1-s2.0-S0048969716318666-main.pdf,Irrelevant,None,statistical analysis,statistical analysis,None
1-s2.0-S1319157817302707-main.pdf,Sensors,None,None,energy efficiency,None
NWCG Standards for Fire Weather Stations_2019_1.pdf,SDE-only,None,decision support system,data transmission,None
3293614.3293615.pdf,Neither,None,None,None,None
Application_of_WSNs_for_Detection_Land_and_Forest_Fire_in_Riau_Province_Indonesia.pdf,Sensors,None,None,"reconfigurable, data transmission",None
Method_Using_IOT_Low_Earth_Orbit_Satellite_to_Monitor_Forest_Temperature_in_Indonesia.pdf,Neither,None,None,None,None
Fire_Detection_Systems_by_Using_Wireless_Sensors.pdf,SDE-only,None,control system,"signal processing, data transmission",None
Low-Cost_System_for_Early_Detection_and_Deployment_of_Countermeasures_Against_Wild_Fires.pdf,Sensors,None,None,"thermal sensors, spatial resolution",None
3608100.pdf,Sensors,None,None,"sensor accuracy, optimization techniques",None
3576842.3582381.pdf,PDE-only,physical phenomena,None,energy efficiency,"ame x = t anomaly probability scenario 1 wind model a cell l se cn ng, is anddeploymentfunctionofunitsinu =u u  tomaximize connected, letu  = u    denotethe thecapturedinformationbyconnectingthesensingunittoit, welet  = representupgradingasensing workingunit slocation, if  = and, ka inw ga ure nig tr sa ap rh e     =g, ourongoingresearchaimstoaddress     =g, $110and$"
Simulation_research_on_control_system_and_ballistic_of_a_remote_forest_fire_fighting_cannon.pdf,SDE-only,None,control system,None,None
Current_Status_of_Micro_Nanosensors_and_Their_Potential_Applicability_to_the_Prevention_and_Early_Detection_of_Forest_Fires (1).pdf,SDE-only,None,risk assessment,"data transmission, spatial resolution, temporal resolution, risk assessment",None
Clairvoyant_Raven.pdf,SDE-only,None,control system,ultrasonic sensors,None
Disaster_Management_Projects_Using_Wireless_Sensor_Networks_An_Overview (1).pdf,Neither,None,None,None,None
Identifying_Thermal_Properties_of_Ground_Surface_Derived_by_SAR_and_Laboratory_Measurements.pdf,Sensors,None,None,spatial resolution,None
Remote_modification_of_sensor_mote_design_for_next-generation_Wireless_Sensor_Networks.pdf,Sensors,None,None,reconfigurable,None
System_Architecture_for_a_Wireless_Sensor_Network_for_Sustainable_Agriculture_Forestry_and_Green_Spaces_in_Smart_Cities.pdf,SDE-only,None,control system,None,None
Distributed_Search_Engine_Query_Optimization_Using_Artificial_Neural_Network.pdf,SDE-only,None,"optimization technique, control system",fusion,None
TerraSAR-X_Data_for_Burn_Severity_Evaluation_in_Mediterranean_Forests_on_Sloped_Terrain.pdf,Neither,None,None,None,None
The_Airborne_Environmental_Research_Observational_camera_AEROcam_a_case_study_of_multidisciplinary_experiential_learning.pdf,Sensors,None,None,spatial resolution,None
s41598-021-03882-9.pdf,SDE-only,None,machine learning model,"fusion, data transmission",None
EcoGuard_Uniting_IoT_and_AI_to_Secure_Forests_and_Combat_Climate_Change_in_Real-Time.pdf,Sensors,None,None,data transmission,None
electronics-09-00893-v2.pdf,Sensors,None,None,fusion,None
Context-aware_routing_protocol_based_on_PSO_for_mobile_WSN.pdf,PDE-only,objective function,None,data transmission,"1 = v i, 1 =x i, therefore we where e elec= 50nj, amp = 100nj"
From_cellular_networks_to_the_garden_hose_Advances_in_rainfall_monitoring_via_cellular_power_measurements.pdf,Irrelevant,None,None,None,None
1-s2.0-S0048969717334320-main.pdf,Irrelevant,None,None,None,None
The_Role_of_UAV-IoT_Networks_in_Future_Wildfire_Detection.pdf,Sensors,None,None,"sensor accuracy, data transmission",None
An_Intelligent_Framework_for_Wireless_Sensor_Networks_in_Environmental_Monitoring.pdf,Sensors,None,None,"fusion, energy efficiency, ultrasonic sensors, data transmission, optimization techniques, machine learning models, adaptive algorithms",None
1995456.1995880.pdf,SDE-only,None,"simulation model, data assimilation",spatial resolution,None
Forest_Fire_Detection_and_Temperature_Monitoring_Alert_using_IoT_and_Machine_Learning_Algorithm.pdf,Sensors,None,None,signal processing,None
Early_Detection_of_Forest_Fire_using_Deep_Image_Neural_Networks.pdf,Neither,None,None,None,None
Selective_Sleep-_awake_Scheduling_in_WSN_-Cloud_Integration.pdf,Neither,None,None,None,None
Energy-Efficient_Algorithm_for_Robot-Assisted_Sensor_Deployment.pdf,PDE-only,problem formulation,None,sensor placement,"$31.00  2021 ieee 5919659.1202.74035ececc/9011.01 :iod | eeei 1202  00.13$, assisted sensor deployment capacity = maximum capacity of the robot algorithms to find the best algorithm under different simulated output, let pcur = current position of the robot, pnew = new position of the robot and load, = the number of sensors currently carried by robot algorithm, if load = capacity 3, totaldist = totaldist, load=capacity greedy, load = load, pcur = pnew maximum deficit cell"
Forest_Fire_Detection_using_WSOA_Based_Geodesic_Distance_Encoding_Segmentation_Model_in_Smart_IoT.pdf,Sensors,None,None,"signal processing, fusion",None
Wireless_Sensor_Networks_for_Natural_Disaster_Management_-_A_Survey.pdf,SDE-only,None,control system,"physical parameters, reconfigurable",None
A_UAV_Forest_Fire_Detection_Method_Based_on_Dual-Light_Vision_Images.pdf,Neither,None,None,None,None
Energy_optimization_at_the_MAC_layer_for_a_forest_fire_monitoring_wireless_sensor_network.pdf,Sensors,None,None,data transmission,None
Optimization_Of_Sugeno_Fuzzy_Logic_Based_On_Wireless_Sensor_Network_In_Forest_Fire_Monitoring_System.pdf,Sensors,None,None,data transmission,None
A_UAV_with_Autonomy_Pattern_Recognition_for_Forest_Fire_Prevention_and_AI_for_Providing_Advice_to_Firefighters_Fighting_Forest_Fires.pdf,Sensors,None,None,error correction,None
Model_for_Advanced_Sensor_Placement_in_Wildfire_Detection_Systems.pdf,Sensors,None,None,"sensor placement, reconfigurable, energy efficiency, data transmission",None
Smart_Solar_Powered_System_for_Unauthorized_Logging.pdf,Neither,None,None,None,None
Game_theoretic_secure_localization_in_wireless_sensor_networks.pdf,SDE-only,None,predictive model,sensor placement,None
A_forest_fire_monitoring_system_based_on_GPRS_and_ZigBee_wireless_sensor_network.pdf,SDE-only,None,control system,data transmission,None
Transaction-Level_Modeling_for_Sensor_Networks_Using_SystemC.pdf,Sensors,None,None,"vibration sensors, error correction",None
Forest_Fire_Detection_using_Nine-Layer_Deep_Convolutional_Neural_Network.pdf,Neither,None,None,None,None
Measuring_the_Horizontal_Wind_for_Forest_Fire_Monitoring_Using_Multiple_UAVs.pdf,Sensors,None,None,temporal resolution,None
Real-time_forest_fire_detection_with_wireless_sensor_networks.pdf,SDE-only,None,"risk assessment, adaptive algorithm",risk assessment,None
Enhancing_Forest_Safety_Sensor-Assisted_Detection_and_Prevention_of_Wildfires.pdf,Sensors,None,None,"smart sensors, control systems",None
An_Improved_Algorithm_Based_on_D-S_Evidence_Theory_for_Accurate_Wildfire_Detection.pdf,Sensors,None,None,fusion,None
SAMRAKSHA__Developing_a_real-time_and_automatic_early_warning_system_for_forest_fire.pdf,Sensors,None,None,signal processing,None
Forest_Fire_Detection_for_Edge_Devices.pdf,Neither,None,None,None,None
Data_fusion_in_observer_networks (1).pdf,Sensors,None,None,fusion,None
Implementation_of_AES-256_Algorithm_for_Secure_Data_Transmission_in_LoRa-based_Forest_Fire_Monitoring_System.pdf,Sensors,None,None,data transmission,None
Persistent_Cooperative_Monitoring_System_of_Disaster_Areas_Using_UAV_Networks.pdf,SDE-only,None,simulation model,None,None
Leveraging_Drone-Assisted_Surveillance_for_Effective_Forest_Conservation_A_Case_Study_in_Australias_Daintree_Rainforest.pdf,PDE-only,objective function,None,fusion,"where i can take all values in the set  i = i systemsshowpromiseaseffectiveanswersforenhancedforest, where j takes on the values from  j = j developed and implemented for fire detection and control, t = m, =maxc, this completion time is calculated as t =max i, t i or t =max j, y = 1if zone z j is assigned to drone d i, it is obvious to conclude that f = fg, properties y ij =1 j, i=1 proposition 1, nz m j =f j, j=1 fig, thenm j =m j, c j = c h, we have t = 175 and t, = 175, managing the list of drones that are ready to launch upon wehavet =195andt, =155, k=1 to its, set b=10 and 2, j=1 to n z 1, k=1 to its, set   =rnd, j=1 to n z 1, set   =rnd, j=n z 1, j=n z 1, set t = min tk 20, set tb =min 1 k itstkb 23, set b=b, set t =min b, with a = 1 schedule the zone zs to the drone with the minimum t i, the andb=100, start by fixed stepistoselectthebestobtainedsolutionast =max, a = 1 and b, = 10, a = 1 will be a fixed the complexity of this algorithm is o, the global we choose its = 1000, set k=n z, k=1 to its, j=1 to n z, y =rnd, y =1, k=1, calculate t = min tk 1 k its 14, 10 3=1350 instances, pg the percentage of instances when t  =t  is reached, located in tropical north can conclude that ttd = 2, sd =1, 1 cm =6, and n = n  n, the 1 8 x = x and x, = x, it is clear to 6 9 9 6 2 see that the large side of the forest shape denotes x and is 7 equal to x =x, x =n  x, 2 9=36 instances, tablex tioned variables will be provided for the case when n =5 in overviewresultsforallalgorithmsforthe z casestudybenchmark example 2, for n = 5, n = 3, and n = 2, we have z 1 2 x = 12, x = 5, x = 5, x = 3, x = 9, x = 1 2 5 6 7 8 1, and x = 1, ttd = 9 2, 6=35, 379=224, all algorithms obtained zero agp when n = 5, except j z n =5, which has zero agp for n =5, when n =25, m =25 values of flying times"
Coverage_and_Deployment_Algorithms_in_Wireless_Sen.pdf,Neither,None,None,None,None
Computing_Platform_for_Monitoring_Fire_Hazards_in_Forest_Areas_using_the_IoT.pdf,SDE-only,None,decision support system,None,None
HGA-based_Auto-tuning_of_Peltier_coolers_in_PAIS_project_New_environmental_monitoring_and_early_wildfire_detection_system.pdf,Both PDE and SDE,"problem formulation, objective function",control system,control systems,None
A_Review_of_Routing_Techniques_for_Different_Applications_in_Wireless_Sensor_Network.pdf,Neither,None,None,None,None
Solar_Operated_IoT_based_Smart_System_to_Monitor_Illegal_Logging.pdf,Neither,None,None,None,None
Recent_advances_in_land_monitoring_using_GNSS-R_techniques.pdf,SDE-only,None,risk assessment,risk assessment,None
Wildland_Fire_Detection_and_Monitoring_Using_a_Drone-Collected_RGB_IR_Image_Dataset.pdf,SDE-only,None,data assimilation,"fusion, spatial resolution",None
An_efficient_and_optimal_clustering_algorithm_for_real-time_forest_fire_prediction_with.pdf,Sensors,None,None,"signal processing, data transmission",None
Research_on_Forest_Fire_Monitoring_Quality_Variation_with_Wireless_Sensor_Node_Density.pdf,Neither,None,None,None,None
Application_of_LoRa_WAN_Sensor_and_IoT_for_Environmental_Monitoring_in_Riau_Province_Indonesia.pdf,Sensors,None,None,"reconfigurable, error correction",None
DORMS_Design_of_multi-objective_optimized_RPL_and_MAC_protocols_for_wireless_sensor_network_applications.pdf,PDE-only,objective function,None,"physical parameters, data transmission","isd=600m is d, 400m isd=200m, sent from the dodag minlatency =min, hop =indiomsg, latency =minlatency, minpower =min, minpower =min"
Forecasting_Naturally_Occurring_Forest_Fires_using_AI_and_Machine_Learning_in_Wireless_Sensor_Networks (1).pdf,Neither,None,None,None,None
s10479-023-05657-z.pdf,Both PDE and SDE,objective function,optimization technique,"energy efficiency, data transmission, optimization techniques",None
s11042-023-16647-5.pdf,Sensors,None,None,"fusion, software-defined, data transmission",None
Wireless-Sensor_Network_Topology_Optimization_in_Complex_Terrain_A_Bayesian_Approach.pdf,Neither,None,None,None,None
1-s2.0-S0301479717309817-main.pdf,SDE-only,None,risk assessment,risk assessment,None
Intelligent_Framework_Using_IoT-Based_WSNs_for_Wildfire_Detection.pdf,Sensors,None,None,"fusion, software-defined, energy efficiency, data transmission",None
Simple_Digital_Design_to_Optimize_TDOA_Algorithm_Reducing_Energy_Consumption_WSN_for_Forest_Fire_Localization.pdf,Sensors,None,None,signal processing,None
2896387.2896450.pdf,Sensors,None,None,energy efficiency,None
Modeling_of_Wireless_Sensor_Networks_for_Detection_Land_and_Forest_Fire_Hotspot.pdf,Sensors,None,None,"signal processing, reconfigurable, data transmission, smart sensors",None
Early_Forest_Fire_Prediction_System_Using_Wireless_Sensor_Network.pdf,Neither,None,None,None,None
A_Simple_Grid-Based_Localization_Technique_in_Wireless_Sensor_Networks_for_Forest_Fire_Detection.pdf,Neither,None,None,None,None
Low-Power_Distributed_Sensor_Network_for_Wildfire_Detection (1).pdf,Sensors,None,None,"signal processing, data transmission",None
Forest_Fire_Detection_and_Guiding_Animals_to_a_Safe_Area_by_Using_Sensor_Networks_and_Sound.pdf,Neither,None,None,None,None
A_New_Energy_Reduction_Method_Based_on_Fire_Probability_Threshold_Switch_for_WSN.pdf,PDE-only,problem formulation,None,"signal processing, fusion, data transmission","$$, eliminate t=1 t, the i=1 i i euclidean distance, n =1l i, i i i=1 c, z i =b 0, p f = 1, p t =i, calculation of the fire probability threshold e=e, so e =mpe, f0 t t t0 and e =me, e=mpe, e=100e f0, e=100e, the fire probability threshold value t=0"
1878537.1878539.pdf,SDE-only,None,"simulation model, decision support system",simulation models,None
ICSE-SEIS.2017.8.pdf,Neither,None,None,None,None
Application_of_wireless_sensor_networks_in_forest_fire_detection_under_uncertainty.pdf,SDE-only,None,risk assessment,"signal processing, risk assessment",None
Time_Series_Snapshot_of_Event_Boundary_Detection_and_Area_Estimation_in_Wireless_Sensor_Networks.pdf,Neither,None,None,None,None
Environmental_Intelligence_Based_on_Advanced_Sensor_Networks.pdf,Neither,None,None,None,None
Sensor_Deployment_Strategies_for_Target_Coverage_Problems_in_Underwater_Acoustic_Sensor_Networks.pdf,Neither,None,None,None,None
Multi_Sensor_Network_System_for_Early_Detection_and_Prediction_of_Forest_Fires_in_Southeast_Asia.pdf,SDE-only,None,statistical analysis,"fusion, data transmission, spatial resolution, statistical analysis",None
Forest_Fire_Detection_via_the_Internet_of_Things-Based_Systems.pdf,SDE-only,None,risk assessment,"signal processing, risk assessment, machine learning models",None
A_Novel_Accurate_Forest_Fire_Detection_System_Using_Wireless_Sensor_Networks.pdf,Sensors,None,None,fusion,None
Taking_Sensor_Networks_from_the_Lab_to_the_Jungle.pdf,Neither,None,None,None,None
forests-12-00453.pdf,PDE-only,objective function,None,None,"fh =0, forj =1, for j j =1, forj =1, nsandi =1, cd = d 1, h = max max min min ji max min, j fh = fh h, forj =1, i i x i=1 where, for 1 ns j 1 ns j = 1, min max min max min max min max k=0 generatesthepopulationofindividualsn, pop whilestoppingcriterionisnotmetdo k=k, theparametersusedfortheoptimisationproblemwere  =50, fd =0, fd =100, fh =0, d =0and min max min max i min d variesaccordingtothesensortype, beingda =50forthesensor aanddb, =100 max max max forthesensorb, theparametersusedforthegaterminationcriterionare n =1200 max andnss, =50"
An_IoT_based_Real_Time_Forest_Fire_Detection_amp_Alerting_System_Using_LoRa_Communication.pdf,Irrelevant,None,None,None,None
Adaptive_Coverage_Control_for_Heterogeneous_Mobile_Sensor_Networks_in_an_Unknown_Environment.pdf,PDE-only,problem formulation,None,None,"$31.00  2023 ieee 3154 44538301.3202.35794cdc/9011.01 :iod | eeei 3202  00.13$, j =1, i=1, ta=k, and w ii = 0 suppose that the sensing ability is described as follows, if i =j and w, if i=j, c  = l  vi, lim e = lim e, i =j, 2 =w  w, a distributed control law w  =  k w, t  e  i =  mk  w, 2 =0, i i t  e  = mlwe, mainresults we begin this section by establishing an online weight where m = diag, if i =j and j  n, if i=j, online weight learning law lim lwe = 0, one has e = sensing weights, lim e = lim e, t  t  w  = k w, q    v represents all points ij located on the power cell boundary between neighboring p  =k, tdq i i f = vi i vi i  rm m, 2 =0, dq s = vi  rm 1, i taking the time derivative of v yields a  prei = k cf ia  i, dq v  =h, i=1 a  i, = 1, l i = k 2w, p i i i i i i i i vi vi compensate for uncertainties in the centroid estimation and = k m, l which eliminates the singularity point of c  vi at a  i = 0 by i, convergence analysis of the msn i=1 i, 2 i i i j ij c vi vi i v =h 1, i=1 j ni, i=n 1, i=n 1 1 2a t i a  i, i=n 1, is a standard locational cost function in i=1 q i the coverage control problem with heterogeneous msns, i=1 j ni furthermore, i=1 q i  a tlw i a 0, one can conclude that lim v  = 0, and lim a tlw i a =0, simulations are conducted to illustrate that is generated using the positions of the sensors and the that the proposed approach can solve the coverage control weights at t = 0 is illustrated by the straight lines in fig, value that equals 850000 due to that the denominator term consider a group of n = 14 robots with single inte, t witha =0, with a black squares and green circles correspond to the initial fixed width   =0, theestimatedparametervectorsa  are it can be observed that more sensors are driven to the i initialized as a  = a 1 for all 14 sensors, e i = w i   i of all sensors converge to the same value of, mean c   p   = v 1i, 2018 ieee international conference on robotics and automation vi i 14 i=1 vi i, 2 = 0, observed that lim a tlw  i ma  = 0"
Advancement_of_an_Integrated_Technological_Platform_for_Wildfire_Management_through_Edge_Computing.pdf,Sensors,None,None,"fusion, simulation models",None
Proposition_of_low-cost_wireless_sensor_network_for_real-time_monitoring_and_early_wildfire_detection_in_Lebanons_forests (1).pdf,SDE-only,None,statistical analysis,"data transmission, statistical analysis",None
Energy_Efficient_Routing_Protocol_in_Forest_Fire_Detection_System.pdf,SDE-only,None,decision support system,"energy efficiency, data transmission",None
1639809.1639845.pdf,SDE-only,None,"simulation model, data assimilation","signal processing, simulation models",None
ahswn09a.pdf,Neither,None,None,None,None
Detection_of_forest_fires_using_machine_learning_technique_A_perspective.pdf,Sensors,None,None,"signal processing, intelligent sensors",None
An efficient local improvement operator for the multi-objective wireless sensor network deployment problem.pdf,Both PDE and SDE,problem formulation,statistical analysis,"sensor placement, data transmission, optimization techniques, statistical analysis","journalcode=geno20 engineeringoptimization vol, 2 i i=1 subjectto c, where  =1and, =2, p =parentnodes, and c = a b childnodes, covconeq=coveq coneq, awsnlayoutwsn=n 1n 2, i =1, i =1, the distribution index is set to i i   =20, maximumnumberofnodes=250, engineeringoptimization 1129   initialnodedeploymentprobability=50, r =30m, r =30m, iscalculatedashv =volume, i=1 i finally, f  fmin fnorm = i i i fmax fmin i i iffmin  f  fmax, i =1, r i=1 where ai is the ith approximate pareto optimal set and i is an indicator function that takes the value 1 when ai dominates solution z, the genetic operators are sbx crossover and polynomialmutationwithratesp =0, 9andp =1, threshold=30, andprobability=1, threshold=30andprobability, besides the predefined probability of x =50, the values x =75, and x =100, the ideal configuration of paco is set to threshold=30, probability=1, theinitialnodedensityissettox =50, theparametricconfigurationsarethedifferentcombinations of crossover probability with values p =0, p =0, p =0, 5 and p =0, for convenience referredtoasp =1, p =5, 0andp =10, excludingtheoneswithpaesandtheoneshavingp =0 c since there is no crossover involved there, with thehighesthvvaluesobtainedforp =1, butthebestresultsaregenerallyobtainedwithp =0, mocellwithp =1, 0andp =0, polynomialmutationwithp =1, rgxcrossoverwithp =0"
A_Comparison_of_the_Accuracies_of_a_Convolution_Neural_Network_Built_on_Different_Types_of_Convolution_Layers.pdf,Sensors,None,None,signal processing,None
Distributed_coverage_of_forest_fire_border_based_on_WSN.pdf,Sensors,None,None,signal processing,None
1-s2.0-S0168192322001630-main.pdf,Sensors,None,None,"sensor accuracy, spatial resolution, temporal resolution, simulation models",None
Wireless_Sensor_Networks_for_Early_Detection_of_Forest_Fires (1).pdf,Neither,None,None,None,None
Energy-efficient_Fire_Monitoring_using_ubiquitous_sensor_network.pdf,Sensors,None,None,"energy efficiency, data transmission",None
Automated_Forest_Fire_Prediction_Systems_A_Comprehensive_Review.pdf,Sensors,None,None,"fusion, control systems",None
IOT_Enabled_Forest_Fire_Identification_and_Prevention_System_using_LORA.pdf,Sensors,None,None,"signal processing, data transmission",None
YOLOv6_for_Fire_Images_detection.pdf,Sensors,None,None,"fusion, spatial resolution",None
A_Methodology_for_Forest_Fire_Detection_and_Notification_Using_AI_and_IoT_Approaches.pdf,Sensors,None,None,"signal processing, fusion, data transmission, interoperability, control systems, machine learning models",None
Algorithm-based_Dynamic_Formal_Model_for_Forest_Fire_Detection_amp_Extinguishment_System.pdf,Irrelevant,None,None,None,None
Model_for_Advanced_Sensor_Placement_in_Wildfire_Detection_Systems (1).pdf,Sensors,None,None,"sensor placement, reconfigurable, energy efficiency, data transmission",None
3227609.3227677.pdf,Neither,None,None,None,None
Forest_Fire_Monitoring_System_and_Energy_Saving_Algorithm.pdf,Neither,None,None,None,None
A_Reinforcement_Learning-Based_Fire_Warning_and_Suppression_System_Using_Unmanned_Aerial_Vehicles.pdf,SDE-only,None,risk assessment,"signal processing, fusion, energy efficiency, risk assessment",None
Trustworthiness_in_Sensor_Networks_A_Reputation-Based_Method_for_Weather_Stations.pdf,Sensors,None,None,fusion,None
Long_Range_LoRa_Fire_Fighter_In_Dense_Forest.pdf,Sensors,None,None,data transmission,None
Wireless_Sensor_Networks_using_image_processing_for_fire_detection.pdf,SDE-only,None,optimization technique,"fusion, smart sensors, control systems",None
A_Machine_Learning-Based_Early_Forest_Fire_Detection_System_Utilizing_Vision_and_Sensors_Fusion_Technologies.pdf,Sensors,None,None,"signal processing, fusion",None
