"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Fusing light and temperature data for fire detection","O. S. da Penha; E. F. Nakamura","Department of Computer Science, Federal University of Amazonas, Manaus, Amazonas, Brazil; Analysis, Research and Technological, Innovation Center, Manaus, Amazonas, Brazil",The IEEE symposium on Computers and Communications,"12 Aug 2010","2010","","","107","112","Wireless Sensor Networks (WSN) are often designed to detect events based on measurements provided by sensor nodes. In this work, we propose and evaluate two algorithms, based on information fusion methods, for fire detection in rainforests when we have only light and temperature sensors. The idea is to have acceptable detection methods even when we do not have (or cannot afford) other sensor units that would lead to more accurate inferences, such as humidity sensors, smoke detectors or video cameras. In this sense, we collect and analyze real environmental data in situations that are similar to those found in real scenarios. Then, we create some controlled fire (events) of small proportion, close to sensor nodes, to force event occurrences. Experimental results indicate that forest fire can be detected at night by using just light measurements. In addition, light data can be used to distinguish heat resulting from sunbeam and fire. The first method is based on the moving average filter and thresholds (Threshold method), while the second uses the moving average filter and the Dempster-Shafer theory. Both methods present similar results regarding the detection efficacy considering the generated instances. However, the Threshold method is more stable, due to the use of state machine to represent the environment conditions.","1530-1346","978-1-4244-7755-5","10.1109/ISCC.2010.5546519","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5546519","","Temperature measurement;Current measurement;Temperature sensors;Wireless sensor networks;Size measurement;Temperature distribution;Monitoring","","14","","11","IEEE","12 Aug 2010","","","IEEE","IEEE Conferences"
"Consistent Data Collection and Assortment in the Progression of Continuous Objects in IoT","T. Rahman; X. Yao; G. Tao","School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China; School of Information Engineering, China University of Geosciences, Beijing, China",IEEE Access,"11 Oct 2018","2018","6","","51875","51885","In Internet of Things (IoT)-based applications, one of the foremost application is the localization and detection of continuous objects, such as mud flow, forest fire, toxic gases, biochemical materials, and so forth. The localization and detection of continuous objects require massive communication which may cause congestion, exhaust extensive amount of energy, and cause severe packet loss. In this paper, we proposed consistent data collection and assortment in the progression of continuous objects in IoT (CDCAPC) to tackle traffic congestion, continuous objects detection and throughput maximization problem, which employs the link capacity diversity, congested boundary node selection and node remaining power during the scheduling policy construction to reach maximum data transmission rate. The proposed algorithm is based on efficient utilization of network resources and variable data rates. The congestion is mitigated in hotspots by considering the differences of the link capacities in the sending process. The CDCAPC performance has been evaluated with promising results against equivalent scheme in term of data loss, high priority data packets delivery, end-to-end delay, hop-by-delay, and percentage of successfully received packets.","2169-3536","","10.1109/ACCESS.2018.2869075","Fundamental Research Funds for the Central Universities(grant numbers:FRF-BD-18-016A); National Natural Science Foundation of China(grant numbers:61471035); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465949","Congestion control;continuous objects;path capacity;wireless sensor networks","Wireless sensor networks;Forestry;Sensor phenomena and characterization;Energy consumption;Internet of Things;Reliability","","13","","35","CCBY","14 Sep 2018","","","IEEE","IEEE Journals"
"YOLOv6 for Fire Images detection","H. Jabnouni; I. Arfaoui; M. A. Cherni; M. Bouchouicha; M. Sayadi","Institut Supérieur d’Informatique et des Techniques de Communication de H. Sousse, Université de Sousse, H. Sousse, Tunisie; LR13 ES03 SIME, ENSIT, Montfleury, Université de Tunis, Tunis, Tunisia; LR13 ES03 SIME, ENSIT, Montfleury, Université de Tunis, Tunis, Tunisia; CNRS, LIS, Université de Toulon, Aix Marseille Univ, Toulon, France; LR13 ES03 SIME, ENSIT, Montfleury, Université de Tunis, Tunis, Tunisia",2023 International Conference on Cyberworlds (CW),"6 Dec 2023","2023","","","500","501","Early fire forest detection is crucial for fast and effective intervention. Many research have been done on this subject starting by sensor based systems and arriving to image processing which leverage the computer vision advancements. Our work refers to one of the latest algorithms in forest fire detection: YOLO. We present in this paper a detailed description of the architecture of the YOLO algorithm with an emphasis to the YOLOv6 which is the latest version of the YOLO algorithms. The performance of the studied algorithm is evaluated on a personal database containing 28334 images, with 10534 forest fire images and 17800 non-fire images. The experimental results of applying the YOLOv6 proved the efficiency of the method in fast and accurate fires detection even in large size images and low resolutions. This result makes the studied algorithm so suitable for both satellite and ground based images analysis.","2642-3596","979-8-3503-1565-3","10.1109/CW58918.2023.00086","Ministry of Foreign Affairs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337537","Deep learning;Fire detection;Forest Fire detection;Computer vision;YOLOv6.","Computer vision;Satellites;Image analysis;Databases;Forestry;Computer architecture;Feature extraction","","1","","9","IEEE","6 Dec 2023","","","IEEE","IEEE Conferences"
"Using Artificial Intelligence and IoT Solution for Forest Fire Prevention","G. Pettorru; M. Fadda; R. Girau; M. Sole; M. Anedda; D. Giusto","DIEE Department of Electrical and Electronic Engineering, UdR CNIT, University of Cagliari, Cagliari; University of Sassari, Sassari, Italy; University of Bologna, Bologna, Italy; DIEE Department of Electrical and Electronic Engineering, UdR CNIT, University of Cagliari, Cagliari; DIEE Department of Electrical and Electronic Engineering, UdR CNIT, University of Cagliari, Cagliari; DIEE Department of Electrical and Electronic Engineering, UdR CNIT, University of Cagliari, Cagliari","2023 International Conference on Computing, Networking and Communications (ICNC)","23 Mar 2023","2023","","","414","418","Natural ecosystem conservation is a topical issue that is receiving increasing attention from different branches of the scientific community. Forests and woodlands are major contributors to climate change mitigation, able to absorb significant amounts of carbon dioxide. The conservation of tree areas has been addressed through the adoption of different solutions. This paper proposes a new monitoring system and the use of artificial intelligence (AI) for real-time fire detection. The system is based on intelligent Digital Mobile Radio (DMR) nodes and a Social Internet of Things (SIoT) platform on which AI algorithms have been implemented. The results obtained show the ability to detect the slightest change in observed environmental parameters, determining the direction and speed of fire propagation.","","978-1-6654-5719-4","10.1109/ICNC57223.2023.10074289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074289","Sensors and Actuator Systems;Internet of Things;Internet of Everywhere;and Edge Computing;Machine Learning;Deep Learning and AI in CE","Forestry;Vegetation;Sensor systems;Real-time systems;Social Internet of Things;Telecommunications;Artificial intelligence;Ecosystems;Climate change;Energy conservation;Wildfires","","5","","21","IEEE","23 Mar 2023","","","IEEE","IEEE Conferences"
"Multi-sensor analysis of the effects of a wildfire in an Alaskan black spruce forest","E. S. Kasischke; L. L. Bourgeau-Chavez; N. H. F. French","Center for Earth Sciences, Environmental Research Institute of Michigan, Ann Arbor, MI, USA; Center for Earth Sciences, Environmental Research Institute of Michigan, Ann Arbor, MI, USA; Center for Earth Sciences, Environmental Research Institute of Michigan, Ann Arbor, MI, USA",Conference Proceedings Second Topical Symposium on Combined Optical-Microwave Earth and Atmosphere Sensing,"6 Aug 2002","1995","","","21","","Wildfires play a central role in the ecology of boreal forests throughout the circumpolar region. Fires result in distinct and characteristic signatures on all remote sensing imagery. The large proportion of total area burned in boreal forests occurs in large fire events-the majority of area burned occurs in fires greater than 10,000 ha in size. These fires result in signatures which are not only spatially heterogeneous, but also have distinct temporal signatures. The authors present the results of a study which investigated the use of a variety of systems to monitor the effects of fire on remote sensing data collected over a large (40,000 ha) forest fire near Tok, Alaska. This fire occurred during the summer of 1991. Visible and near-IR region (AVHRR, SPOT) as well the microwave region (the ERS-1 and JERS-1 SARs) observations were made. The studies have shown that in the visible and near-IR data sets, the remotely-sensed signatures result from variations in the levels of burn intensity and patterns of vegetation regrowth. These patterns can clearly being interpreted through examination of vegetation indices derived from the AVHRR and SPOT data sets. On the other hand, the analyses of the microwave imagery collected by the ERS-1 SAR show that the spatial patterns of radar backscatter are primarily due to variations in surface roughness due to variations in burn intensity as well as variations in soil moisture, while the temporal patterns of radar backscatter are due to seasonal variations in soil moisture. The authors present examples of the remotely-sensed data sets along with ground-truth measurements which illustrate the sources of variations observed in the satellite imagery.<>","","0-7803-2402-1","10.1109/COMEAS.1995.472396","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=472396","","Fires;Remote sensing;Remote monitoring;Vegetation mapping;Radar imaging;Spaceborne radar;Backscatter;Soil moisture;Environmental factors;Image analysis","","","","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Optimal Deployment of Mobile Sensors Nodes using Signal Strength Equalization","S. Sharma; H. Choudhary","Dept. of Comp. Science & Engg., Govt. Engineering College Ajmer, Rajasthan, India; Dept. of Comp. Science & Engg., Govt. Engineering College Ajmer, Rajasthan, India","2018 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)","29 Nov 2018","2018","","","1","6","Deployment of sensing nodes in remote areas like forests, mountains, etc. is not deterministic thus face problem of network disconnection. Solutions for the problem are still in their initial phase. The nodes may be dropped from the airplane or thrown manually to non-optimally cover the sensing area. Our aim is to optimally deploy, the randomly deployed movable nodes. The previous researches targeted the area coverage based on GPS locations alone, but due to complex geography and obstacles in wireless transmission the network may remain disconnected and crucial applications like forest fire detection may not be sensed deterministically. We use an adaptive signal strength equalization method to ensure connection between any two adjacent nodes. We argue that the resultant geometry of node clusters should be hexagonal in shape where the center node is equidistant from all the vertices and these vertices shall be common to nearby clusters. But geographic hexagons do not ensure proper signal due to obstacles in line-of-sight and signal strength may not be deterministic leading to network disconnection. We propose to create hexagonal geometry based on signal strength instead of distance alone. Our scheme ensures no network disconnections and coverage of whole geographic area which is of utmost priority. Once the complete deployment takes place all the hexagonal clusters have equal average signal strength.","","978-1-5386-2663-4","10.1109/SCEECS.2018.8546990","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8546990","wireless sensor network;optimal deployment;clustering;movable nodes","Wireless sensor networks;Robot sensing systems;Global Positioning System;Forestry;Wireless communication;Fires","","1","","14","IEEE","29 Nov 2018","","","IEEE","IEEE Conferences"
"Analysis of power saving multicasting routing applications for Mica2 motes-an event based MATLAB implementation","P. k. Gaur; B. S. Dhaliwal; A. Seehra","ECE Dept., IET Bhaddal, Ropar; ECE Dept., GNDEC, Ludhiana, India; ECE Dept., GNDEC, Ludhiana, India","2009 International Multimedia, Signal Processing and Communication Technologies","14 Jul 2009","2009","","","109","112","The adhoc networks are considered to be infrastructure less networks therefore the scarcity of resources (i.e. Bandwidth and Energy) are the main issues requiring attention. In this paper the routing applications/algorithms for optimizing battery life time are analyzed while taking into account the highly unreliable real time behavior of mica2 motes. Routing applications are run in Matlab based probabilistic event driven platform having layered architecture for power centric radio model. Although the adhoc networks have dynamic topology and are randomly placed in specified environments, radio motes are placed in a two-dimentional virtual grid for simulating the flow of packet information in a multicasting source-destination domain. Power Efficient Wireless Adhoc Networks have their applications in military (spying, battlefield surveillance), environmental (forest fire and flood detection, seismic structure response and bio-complexity), health (drug administration in hospitals) set ups.","","978-1-4244-3602-6","10.1109/MSPCT.2009.5164186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5164186","Wireless Adhoc Networks;Energy Efficiency;Life span;Minimum power Transmission Routing Application;Radio Model;Topology Control;Wireless Sensor Networks","Routing;MATLAB;Bandwidth;Multicast algorithms;Batteries;Algorithm design and analysis;Mathematical model;Network topology;Surveillance;Fires","","","","15","IEEE","14 Jul 2009","","","IEEE","IEEE Conferences"
"Spatio-temporal distribution of forest fires and vegetation recovery in the Northeast of China","K. Yi; H. Tani; X. Wang; M. Guo; G. Zhong","Graduate School of Agriculture, Hokkaido University, Hokkaido, Japan; Research Faculty of Agriculture, Hokkaido University, Hokkaido, Japan; Research Faculty of Agriculture, Hokkaido University, Hokkaido, Japan; Graduate School of Agriculture, Hokkaido University, Hokkaido, Japan; Graduate School of Agriculture, Hokkaido University, Hokkaido, Japan",2012 IEEE International Geoscience and Remote Sensing Symposium,"10 Nov 2012","2012","","","6423","6426","Post-fire vegetation can be monitored and analyzed over large areas in a time- and cost-effective manner by using satellite sensor imagery in combination with spatial analysis as provided by Geographical Information Systems (GIS). In this study, spatio-temporal distribution dynamics of burned area in the Northeast of China were analyzed by using a time series of MODIS Burned Area Product (MCD45) data from 2000 to 2010. The forest area damage caused by a large fire which occurred in the northeast of china, in May 1987 was also analyzed as a case study using Landsat TM/ETM+ images. Digital image processing methods, such as spectral profile analysis, vegetation indices and burn severity classification, were applied to the satellite images acquired before and after the forest fire. The inter-annual vegetation dynamic before, after fire events shows that vegetation recovery is a slow process, even after 23 years, some low-severely burned areas still exist in the maps.","2153-7003","978-1-4673-1159-5","10.1109/IGARSS.2012.6352730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6352730","forest fire;vegetation recovery;MCD45;NBR;burn severity","Fires;Vegetation mapping;Remote sensing;Satellites;Earth;Reflectivity;Indexes","","","","6","IEEE","10 Nov 2012","","","IEEE","IEEE Conferences"
"A Comparative Review on Wildfire Simulators","G. D. Papadopoulos; F. -N. Pavlidou","Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, Greece",IEEE Systems Journal,"19 May 2011","2011","5","2","233","243","Phenomena in ecosystems such as forest fires, oil spills, tornados, etc., are complex processes both in time and space. Understanding their dynamics in order to predict their future states is a challenging procedure involving the propagation of several events concerning, e.g., the transfer of energy or material. A common solution used to study such phenomena is the utilization of discrete event models and simulators. Among the phenomena studied by researchers so far, of particular interest and importance, is the forecasting of forest fire propagation since life on earth is greatly dependent on healthy forests. This paper is focused on the investigation of existing simulator models applicable in forecasting forest fire propagation. Twenty-three simulators were found in the literature and are presented here. The comparison discussion concludes with the FARSITE simulator model which is the one that stands out from the rest, and for this reason, it is investigated in depth and evaluated in a test environment.","1937-9234","","10.1109/JSYST.2011.2125230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5738359","Event propagation;FARSITE;simulator models;wildfire","Mathematical model;Fuels;Biological system modeling;Computational modeling;Predictive models;Analytical models;Meteorology","","69","","56","IEEE","24 Mar 2011","","","IEEE","IEEE Journals"
"Sensors-actuators cooperation in WSANs for fire-fighting applications","P. Kulakowski; E. Calle; J. L. Marzo","Institute of Informatics and Applications, University of Girona, Girona, Spain; Institute of Informatics and Applications, University of Girona, Girona, Spain; Institute of Informatics and Applications, University of Girona, Girona, Spain","2010 IEEE 6th International Conference on Wireless and Mobile Computing, Networking and Communications","29 Nov 2010","2010","","","726","732","Wireless sensor and actuator networks for environmental operations are discussed in this paper. A scenario of a forest being under fire is analyzed. While the forest fire detection is a classical application for sensor networks, here this research area is extended, taking into account actuators and focusing on sensors-actuators cooperation. First, the spreading of the fire is illustrated, adapting a well-known model based on percolation theory and explaining its relations with epidemics propagation models. Then, it is shown how the temperature data gathered by sensors can be used by actuators to automatically perform actions to battle with blaze. Finally, the simulation results are presented, documenting the correctness of the decisions taken by the system and the efficiency of fire-fighting actions related to the sensors density.","2160-4894","978-1-4244-7742-5","10.1109/WIMOB.2010.5644860","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5644860","wireless sensor networks;actuators;environmental monitoring;forest fires;epidemics propagation","Fires;Ash;Sensors","","7","","31","IEEE","29 Nov 2010","","","IEEE","IEEE Conferences"
"Enhanced Crop Protection in Agriculture Utilizing Open Source Platform","P. F. Chethankumar; L. N. B; N. T; K. V. N. Sharma; R. P; P. J","Dept of Electronics & Instrumentation Engineering, Siddaganga Institute Of Technology, Tumkur, India; Dept of Electronics & Instrumentation Engineering, Siddaganga Institute Of Technology, Tumkur, India; Dept of Electronics & Instrumentation Engineering, Siddaganga Institute Of Technology, Tumkur, India; Dept of Electronics & Instrumentation Engineering, Siddaganga Institute Of Technology, Tumkur, India; Dept of Electronics & Instrumentation Engineering, Siddaganga Institute Of Technology, Tumkur, India; Dept of Electronics & Instrumentation Engineering, Siddaganga Institute Of Technology, Tumkur, India",2023 International Conference on Smart Systems for applications in Electrical Sciences (ICSSES),"7 Aug 2023","2023","","","1","4","In recent times, farmers face a lot of problems due to birds and animals spoiling their crops by intruding into the farms. Comparatively, old methods like scare crows are not as effective as before, as the intruders realize the tactics relatively. Also, the other problems faced are forest fires destroying crops and withering of crops due to insufficient irrigation. Hence, in this work a new innovative method is adapted which protects the crops precisely. This work aims at developing a rotatory device that detects and identifies any real time moving object in its jurisdiction. This work also aims at developing a system that detects forest fires and conveys the same to the farmer instantly; and a system that irrigates the crops automatically upon requirement. On effective implementation, this work increases crop yield. It also contributes to factors like reduction in hunger overall and prevention of farmers' suicide. As a measure of cost effectiveness, the device is miniaturized to an extent where the ultrasonic sensor detects various movements in a 30 cm radius and triggers the servo motor and the sprinkler. Upon being triggered, the servo motor helps the device rotate accordingly to 180° angle. Simultaneously, the sprinkler sprinkles the water onto the detected intruder, which accounts for driving them away. The flame sensor for forest fire detection and the moisture sensor for automatic irrigation also work simultaneously. The precision and accuracy of the device will be enhanced in the future course according to the requirements.","","979-8-3503-4729-6","10.1109/ICSSES58299.2023.10200710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10200710","Intruder;sensors;crop protection;irrigation;sprinkler","Irrigation;Ultrasonic variables measurement;Soil moisture;Crops;Fires;Forestry;Real-time systems","","","","7","IEEE","7 Aug 2023","","","IEEE","IEEE Conferences"
"End-to-end architecture of a complete system for the provision of operational fire information services: provider centers and decision support systems","L. Jimenez-Tunon; G. M. de Mercado; J. Gonzalo; J. M. Cruz","INSA, Spain; INSA, Spain; INSA, Spain; INSA, Spain","Proceedings of 2nd International Conference on Recent Advances in Space Technologies, 2005. RAST 2005.","3 Oct 2005","2005","","","128","133","Once demonstrated that remote sensing technologies are useful in forest fire emergencies, the aim is to provide what users need and when they need it. The inexistence of a fully-operational EO space segment dedicated to these tasks leads to the development of near-operational systems based on current existing technology and trying to conceive new ways of improving results. In this paper, the overall architecture of such a system is presented, compiling the experience acquired in the several aspects of the problem and presenting an integral and comprehensive solution. The system architecture comprises three well-defined parts: the EO reception facilities, the service provider centre(s), and the decision support systems (DSS). The EO data acquisition facilities receive data from sensors whose usefulness for forest fire management has been proved through several demonstrations and studies. This is the case of the MODIS sensor onboard TERRA and AQUA satellites, the AVHRR in NOAA, the CAVHRR in FENG-YUN, and the recent SEVIRI sensor onboard MSG. Future space segments would be incorporated to the system in a progressive manner, leading it into a more operational stage. The service provider centres are conceived as the facilities that ingest EO data from the reception stations along with non-space data, process the information with a set of scientific tools and algorithms (Toolbox), and generate the value-added products directly usable by end-user organizations under an operational scenario. The resulting fire products are then stored in the centre and disseminated to users according to their needs. A near-operational system for forest fire management has to be tailored trying to meet the exact needs of each type of users, focusing specially on real-time requirements. Therefore, this system cannot be either a mere product generator to be accessed by the users or a ""just product-oriented"" supplier. The only solution to achieve the proposed objectives is to wrap the generated products around a customized and committed service envelope delivered at the user-end. This is the mission of the Decision Support Systems (DSS) installed at user premises, which are an essential tool to achieve operational fire information services using satellite data.","","0-7803-8977-8","10.1109/RAST.2005.1512549","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1512549","","Fires;Decision support systems;Satellites;Space technology;Data acquisition;MODIS;Risk management;Sensor systems;Remote sensing;Service oriented architecture","","2","","4","IEEE","3 Oct 2005","","","IEEE","IEEE Conferences"
"Emergency Message Dissemination in post disaster situations using Internet of Things (IoT)","F. R. Thadathil; A. R. Kumar P.","Department of Computer Science and Engineering, NIT, Puducherry, Karaikal, Puducherry, India; Department of Computer Science and Engineering, NIT, Calicut, Kozhikode, Kerala, India",2019 IEEE Pune Section International Conference (PuneCon),"2 Jun 2020","2019","","","1","5","Casualties are reported post disaster such as tremor, tsunami, forest fire, etc. Injured survivors trapped inside the rubble need necessary oxygen and food within 72 hours after the calamity. There is no electricity and internet due to severe damages. The existing systems such as manual search, sniffer dogs, etc., are tedious to search inside the rubble for the human beings (especially survivors). Our proposed system assists the rescue team to find the human beings without the internet and cellular towers connectivity. A local secure Ad-hoc wireless network is established between the nodes. The programmed node (drone) classifies the messages and sends the emergency messages (with precise location) alone to the neighbor nodes. The proposed system implemented in the construction site inside our campus and tested with 100-1000 voice samples with various background noises. From the experimental results, it is evident that the proposed system classifies the samples with 97.25% detection accuracy.","","978-1-7281-1924-3","10.1109/PuneCon46936.2019.9105775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105775","IoT;Sensors;Secure Communication;Disaster","","","1","","13","IEEE","2 Jun 2020","","","IEEE","IEEE Conferences"
"Distributed Search Engine Query Optimization Using Artificial Neural Network","L. Ali; M. M. Al-Sakhnini; D. Kalra; F. Afzaal; M. Pervaiz; M. F. Khan","College of Engineering and Technology, University of Science and Technology of Fujairah, Fujairah, UAE; School of Business, Skyline University College, University City Sharjah, Sharjah, UAE; School of Information Technology, Skyline University College, University City Sharjah, Sharjah, UAE; National College of Business Administration and Economics, Lahore, Pakistan; University of south Asia, Lahore, Pakistan; Department of Computer Science, Minhaj University, Lahore, Pakistan",2022 International Conference on Cyber Resilience (ICCR),"3 Jan 2023","2022","","","01","05","In this research, we propose a Distributed Search Engine Query Optimization (DSEQO) based sensor network concept for instantaneous forest fire exposure. The sensor network may identify and predict forest fire more sharp than the outdated satellite-based prediction method. The research mainly defines the information gathering and managing in sensor networks for real-time forest fire detection. To predict the real-time fire identification, an ANN technique is utilized to in-network information processing. After simulation it was seen that the suggested approach gives better results with LM approach in terms of Accuracy and Miss Rate.","","978-1-6654-6122-1","10.1109/ICCR56254.2022.9995958","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9995958","distributed search engine query optimization (dseqo);artificial neural network;real-time","Query processing;Forestry;Artificial neural networks;Prediction methods;Information processing;Search engines;Data processing","","","","35","IEEE","3 Jan 2023","","","IEEE","IEEE Conferences"
"Event Classification and Intensity Discrimination for Forest Fire Inference With IoT","V. K. Singh; C. Singh; H. Raza","Wireless Communications and Analytics Research Laboratory, IIIT, Lucknow, Uttar Pradesh, India; Wireless Communications and Analytics Research Laboratory, IIIT, Lucknow, Uttar Pradesh, India; School of Computer Science and Electronic Engineering (CSEE), University of Essex, Colchester, U.K.",IEEE Sensors Journal,"2 May 2022","2022","22","9","8869","8880","Simultaneously occurring random events are often reported by multiple nodes. However, the accuracy of the event detection at every node is dependent on the node’s relative position from the event, and hence, not reliable. Moreover, the factors influencing the event inference are so many, that the accuracy of such an event detection is compromised. Targeting the problem of accurate event inference in the detection of priority events, such as forest fire, a fuzzy rule-based method is proposed. Four parameters are identified for which fuzzyfied values are obtained by a membership function for every variable. A set of 256 rules are used to generate different permutations of the fire index with respect to the identified variables. Extensive analysis of the results proves the efficacy of the proposed scheme with a significantly reduced error rate of 2.01% for humidity and an error rate of 1.94% for temperature.","1558-1748","","10.1109/JSEN.2022.3163155","Global Challenges Research Fund Quality Related (QR) allocation of the University of Essex(grant numbers:F014/E010); Economic and Social Research Council (ESRC) funded Business and Local Government Data Research Centre(grant numbers:ES/S007156/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9744118","Data gathering;energy efficiency;event classification;inference;intensity discrimination;IoT;knowledge extraction","Sensors;Forestry;Temperature sensors;Event detection;Wind speed;Humidity;Temperature measurement","","8","","35","CCBY","29 Mar 2022","","","IEEE","IEEE Journals"
"An Integrated Electro-Optical Payload System for Forest Fires Monitoring from Airborne Platform","F. Esposito; G. Rufino; A. Moccia; P. Donnarumma; M. Esposito; V. Magliulo","Center of Competence Analysis and Monitoring of Environmental Risk, Napoli, Italy; University of Napoli Federico II, Napoli, Italy; University of Napoli Federico II, Napoli, Italy; National Research Council Institute for Mediterranean Agriculture and Forest Systems, Napoli, Italy; National Research Council Institute for Mediterranean Agriculture and Forest Systems, Napoli, Italy; National Research Council Institute for Mediterranean Agriculture and Forest Systems, Napoli, Italy",2007 IEEE Aerospace Conference,"18 Jun 2007","2007","","","1","13","This paper presents the preliminary results obtained within a research project aimed at the development of a remote sensing system for forest fires monitoring in missions of compact airborne platforms. The core of the system is an integrated, multi-/hyper-spectral suite of electro-optical sensors. They were selected to get enhanced ability in forest fire detection and monitoring. The system is completed by a dedicated on-board computer for sensor control. It is capable of autonomous operation and it is also in charge of data exchange with the on-board navigation and flight control system. Two different configurations are described, relevant to different aircrafts: a mini UAV and a certified, two-seat light aircraft. Results of the first flight experiments are presented, that highlight performance achievable by the system.","1095-323X","1-4244-0524-6","10.1109/AERO.2007.353054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4161464","","Payloads;Fires;Remote monitoring;Aircraft navigation;Computerized monitoring;Sensor systems;Electrooptic devices;Control systems;Aerospace control;Unmanned aerial vehicles","","16","","30","IEEE","18 Jun 2007","","","IEEE","IEEE Conferences"
"Low-power image stitching management for reducing power consumption of UAVs for disaster management system","J. Yim; H. Park; E. Kwon; S. Kim; Y. -T. Lee","University of Science and Technology (UST), Daejeon, South Korea; Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea; Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea; Electronics and Telecommunications Research Institute (ETRI), Daejeon, South Korea; University of Science and Technology (UST), Daejeon, South Korea",2018 IEEE International Conference on Consumer Electronics (ICCE),"29 Mar 2018","2018","","","1","3","Recently, unmanned aerial vehicles (UAVs) are used for disaster management system that monitors disasters (e.g., forest fire and landslide) of some areas (e.g., mountains) and responds to disasters. The UAVs of the disaster management system take images and sensor data (e.g., temperature and humidity data) of the areas where the disasters can occur, and then the disaster management system stitches the images of the areas to monitors the areas. This paper proposes the low-power image stitching management (LPISM) that can reduce power consumptions of the UAVs that take images for image stitching in the disaster management system. The disaster management system with the LPISM generates the least number of waypoints for the UAV to take images for image stitching. Therefore, the UAVs can reduce power consumption for taking images, and the UAV can increase the frequency of gathering sensor data for monitoring disasters in detail. The gathered sensor data can be used for multi-modal data convergence analysis in order to respond dangerous situations.","2158-4001","978-1-5386-3025-9","10.1109/ICCE.2018.8326248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8326248","","Disaster management;Cameras;Unmanned aerial vehicles;Power demand;Monitoring;Temperature sensors;Temperature measurement","","4","","8","IEEE","29 Mar 2018","","","IEEE","IEEE Conferences"
"Lightweight and Efficient Deep Learning Model for Fire Detection","F. D. Adhinata; B. Parga Zen; A. D. Septiadi","Faculty of Informatics, Institut Teknologi Telkom Purwokerto, Banyumas, Indonesia; Faculty of Informatics, Institut Teknologi Telkom Purwokerto, Banyumas, Indonesia; Faculty of Informatics, Institut Teknologi Telkom Purwokerto, Banyumas, Indonesia","2023 10th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","31 Oct 2023","2023","","","583","588","Forest fires seriously threaten ecosystems, the environment, and human life. Research and efforts to prevent forest fires with early detection systems have become the main focus lately. Early detection of forest fires requires real-time and accurate performance to extinguish the fire immediately. An accurate Artificial Intelligence method for detection is using deep learning. However, the drawback of deep learning is the long inference process due to the large size of the model. The dataset that we use in this research consists of two classes: the fire class and the non-fire class. In this research, we propose using quantization to shrink deep learning models. We use quantization to convert floating point 32-bit to 16-bit. The deep learning model that we use is the CNN DenseNet-121 model. The quantization results on the deep learning model show that the values for macro precision, macro recall, macro F1, and accuracy have not changed from the original deep learning, namely 0.99, 0.99, 0.99, and 0.99. The size of the deep learning model has decreased from 28.2 MB to 13.7 MB. It affects the inference model time, which is 36 times faster using quantization of deep learning than the original deep learning model. The speed of inference model quantization reaches 0.062 s per image. Through these results, the quantization result in the deep learning model can run in real-time and accurately.","","979-8-3503-0686-6","10.1109/EECSI59885.2023.10295606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10295606","Deep learning;DenseNet-121;Forest fire;Quantization;Real-time","Deep learning;Electrical engineering;Computer science;Quantization (signal);Computational modeling;Ecosystems;Forestry","","","","31","IEEE","31 Oct 2023","","","IEEE","IEEE Conferences"
